kickoff,author,title,summary,target_level_1,target_func_1,target_level_2,target_role_2,liatrio_service_conn,link
1/23/2017,Justin,"First-Time Jenkins Use: Guidance, Tips, and Tricks","Walks through problems that Liatrio apprentices encountered as first time Jenkins users, and provides tips that they used to learn more and overcome those issues.",Intern,DevOps,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/first-time-jenkins-use-guidance-tips-and-tricks
2/6/2017,Ben,"Jenkins Automation: Background, Configuration, and Usage","Provides an overview on Jenkins and Jenkins Automation (*2017), describes the need for Jenkins Automation and Pipelines. Production-Like environments as well as considering Docker as a strategy for hosting",Engineer,DevOps,Manager,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/jenkins-automation-background-configuration-and-usage
2/20/2017,Justin,Blue Ocean Pipeline Automation,"Provides an overview of the Jenkins Blue Ocean plugin, highlighting how it can make Jenkins pipelines easier to view and understand. Also touches on the Jenkins pipeline plugin, and the benefits of pipelines-as-code",Developer,DevOps,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/blue-ocean-pipeline-automation
3/6/2017,Robert,Local Development Practices Improve Development Efficiency,"Walks through how good local development practices, and use of configuration-as-code help to keep local and other environments in sync, and speed up development by reducing errors.",Developer,Development,Engineer,Engineering,Platform Automation and Infrastructure as Code,https://www.liatrio.com/blog/local-development-practices-improve-development-efficiency
3/26/2017,Ravi,Enterprise Docker Usage,"Point of Vew on Enterprise Docker usage - hype, difficulty, barriers for entry, getting started, usage in production",Director,DevOps,VP,DevOps,DevSecOps,https://www.liatrio.com/blog/enterprise-docker-usage
4/10/2017,LiatEng,AWS CodePipeline Use Case,"AWS CodePipeline use cases/examples for: Tomcat Release, Building Code, Deploying Code. Includes write up of ""What I like"" & ""What I don't like"" at its current state",Engineer,DevOps,,,Delivery Pipeline Modernization,https://www.liatrio.com/blog/aws-codepipeline-use-case
4/24/2017,Justin,Enterprise Large Batch Releases (Automated Deployments),"Highlights different ways to allow organizations to use automated pipelines for 'batch' releases, when many different software components need to be released together to function correctly.",Developer,DevOps,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/enterprise-large-batch-releases-automated-deployments
5/8/2017,Robert,Branching Strategy Enables Rapid Delivery,Create faster feedback loops through short-lived branches and merging earlier in the development process. Adopting a simple and effective branching strategy will enable your teams to release quality code quickly.,Developer,Development,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/branching-strategy-enables-rapid-delivery
7/24/2017,Ben,Local Development Using Jenkins Pipelines,"Provides a brief intro to pipelines, Getting started on Local Development with sample code, understading how the pipeline works, using your own instance and next steps ",Developer,Development,Engineer,Engineering,Delivery Pipeline Modernization,https://www.liatrio.com/blog/local-development-using-jenkins-pipelines
8/8/2017,Robert,Enterprise Delivery Pipeline as a Product,"With many teams relying on the platforms and tools required to release their software, the Enterprise Delivery Pipeline is as much of a product as any released to your customers.  These tools work together to accelerate delivery and secure your software on its path to production.",Director,DevOps,,,,https://www.liatrio.com/blog/enterprise-delivery-pipeline-as-a-product
9/18/2017,Ravi,BDD Team Benefits,"BDD overview, benifits, storytelling examples, where to inject BDD",Developer,Development,Manager,Development,Transformation Strategy and Advisory,https://www.liatrio.com/blog/bdd-team-benefits
12/5/2017,Justin,Building with Docker Using Jenkins Pipelines,,,,,,,https://www.liatrio.com/blog/building-with-docker-using-jenkins-pipelines
12/17/2017,Robert,Jenkins Pipelines for Enterprise Software Delivery,This blog takes a look at Jenkins Declarative Pipelines and how they differentiated themselves as Pipelines as Code.  We dive into the point of view that promotes bringing pipelines into each appliection repository to help accelerate delivery.,,,,,,https://www.liatrio.com/blog/jenkins-pipelines-for-enterprise-software-delivery
1/22/2018,Ben,OpenShift Deployments,"Tutorial deploying containerized app w/mysql db, using minishift and setting up local build & deployments for spring-petclinic",Developer,DevOps,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/openshift-deployments
1/29/2018,Jeff,OpenShift Pipeline Builds for Microservices,High level overview of OpenShift integration with Jenkins,Developer,DevOps,Engineer,DevOps,Delivery Pipeline Modernization,https://www.liatrio.com/blog/openshift-pipeline-builds-for-microservices
1/30/2018,Ravi,DevOps Collaboration for Test Suite and Project Synchronization,"Test suite scenario &syncronization examples, goals & actions, outcomes",Developer,DevOps,Engineer,DevOps,Transformation Strategy and Advisory,https://www.liatrio.com/blog/devops-collaboration-for-test-suite-and-project-synchronization
